Grapheme	IPA	Frequency
^k	k	12
ɨ	ɨ	11
t	t	10
ɨ$	ɨ	8
^ⁿd	ⁿd	15
u	u	23
č	tʃ	6
i$	i	10
^x	x	6
i	i	16
o$	o	8
^ñ	ɲ	9
u̧	ũ	18
m	m	5
a̧$	ã	13
a	a	30
ʔ	ʔ	36
n	n	24
u̧$	ũ	23
^s	s	13
a$	a	23
^u	u	5
w	β	4
^kʷ	kʷ	9
^n	n	4
ɨ̧	ɨ̃	6
ñ	ɲ	10
ɨ̧$	ɨ̃	6
N	n̥	13
a̧	ã	7
i̧$	ĩ	10
^ƀ	β	8
l	l	3
u$	u	21
e	e	10
e$	e	7
^t	t	8
-	+	12
x	x	4
k	k	11
s	s	8
^ž	ʒ	17
^i	i	3
z	s	1
o	o	6
ž	ʒ	7
^u̧	ũ	3
^	NULL	6
^š	ʃ	2
i̧	ĩ	5
ƀ	β	4
y	j	2
ṣ̌	ʂ	3
^xʸ	xʲ	1
š	ʃ	5
^č	tʃ	1
ⁿd	ⁿd	1
ⁿǰ	ⁿdʒ	1
^l	l	6
kʷ	kʷ	1
^i̧	ĩ	1
^a	a	1
o̧	õ	1
n$	n	1
