Grapheme	IPA	Frequency
^k	k	11
ɨ	ɨ	14
t	t	16
ɨ$	ɨ	17
^ⁿd	ⁿd	17
u	u	19
č	tʃ	4
i$	i	11
^i	i	8
o$	o	9
^ñ	ɲ	6
u̧	ũ	12
m	m	6
ȩ$	ẽ	5
a	a	20
ʔ	ʔ	36
n	n	13
u̧$	ũ	20
^s	s	13
a$	a	16
^u	u	4
ƀ	β	7
^kʷ	kʷ	8
e	e	19
^n	n	5
ɨ̧	ɨ̃	5
ñ	ɲ	8
ɨ̧$	ɨ̃	6
o̧	õ	5
o̧$	õ	3
^y	j	20
ȩ	ẽ	3
i̧$	ĩ	14
^ƀ	β	7
i	i	13
l	l	3
u$	u	14
e$	e	11
^t	t	16
-	+	10
y	j	13
x	x	6
k	k	12
s	s	7
^ž	ʒ	5
o	o	8
w	w	10
^u̧	ũ	3
a̧$	ã	9
^tn	tⁿ	1
^xʸ	xʲ	1
i̧	ĩ	6
^ṣ̌	ʂ	1
ṣ̌	ʂ	2
^i̧	ĩ	2
a̧	ã	4
^ỹ	j̃	1
^m	m	1
ⁿd	ⁿd	2
^l	l	2
kʷ	kʷ	1
xʸ	xʲ	3
^č	tʃ	1
š	ʃ	3
^a	a	1
^ɨ	ɨ	1
