Grapheme	IPA	Frequency
^k	k	12
ɨ	ɨ	11
t	t	18
ɨ$	ɨ	6
^ⁿd	ⁿd	18
u	u	21
č	tʃ	7
i$	i	12
^ṣ̌	ʂ	7
i	i	17
o$	o	8
^ỹ	j̃	2
u̧	ũ	14
a̧$	ã	13
^ñ	ɲ	8
a	a	21
ʔ	ʔ	30
n	n	16
u̧$	ũ	21
^t	t	7
a$	a	18
^u	u	4
^kʷ	kʷ	8
e	e	12
^n	n	5
ɨ̧	ɨ̃	5
ỹ	j̃	2
ɨ̧$	ɨ̃	5
^đ	ð	11
a̧	ã	8
i̧$	ĩ	12
^θ	θ	1
y	j	4
^ƀ	β	4
ṣ̌	ʂ	6
k	k	9
u$	u	23
đ	ð	11
^ž	ʒ	17
ṣ	ʂ	1
^i	i	3
m	m	1
ž	ʒ	3
e$	e	11
o	o	6
^u̧	ũ	2
^tn	tⁿ	5
ñ	ɲ	5
^o̧	õ	1
o̧$	õ	2
^i̧	ĩ	3
o̧	õ	1
w	w	3
^š	ʃ	3
^m	m	1
i̧	ĩ	6
^w	w	2
ř	r	1
^s	s	2
-	+	4
x	x	2
^y	j	2
ⁿd	ⁿd	1
kʷ	kʷ	1
^e	e	1
^l	l	1
l	l	1
^a	a	1
