Grapheme	IPA	Frequency
^k	k	10
i	i	34
t	t	16
a	a	27
a$	a	27
^ⁿd	ⁿd	13
u	u	18
č	tʃ	7
i$	i	24
^ñ	ɲ	8
u̧	ũ	18
m	m	8
a̧$	ã	10
ʔ	ʔ	30
n	n	10
u̧$	ũ	19
^t	t	10
-	+	14
đ	ð	13
^u	u	4
w	w	4
^kʷ	kʷ	9
^n	n	4
ì̧	ĩ ¹	2
ñ	ɲ	8
ì̧$	ĩ ¹	2
^đ	ð	12
^s	s	5
u$	u	18
a̧	ã	6
i̧$	ĩ	10
^w	w	7
l	l	2
i̧	ĩ	9
š	ʃ	4
kʷ	kʷ	4
^ž̩	ʐ	8
s	s	5
^i	i	3
à	a ¹	1
ì$	i ¹	1
^ž	ʒ	7
ž	ʒ	1
e	e	6
e$	e	6
o	o	5
o$	o	6
^u̧	ũ	3
^č	tʃ	2
ỹ	j̃	2
^š	ʃ	4
^m	m	3
^ⁿǰ	ⁿdʒ	4
y	j	6
k	k	6
^i̧	ĩ	2
ⁿč	ⁿtʃ	1
^tʸ	tʲ	2
ú	u ⁵	1
ú$	u ⁵	1
ⁿd	ⁿd	1
^ⁿz	ⁿz	1
^e	e	1
ȩ	ẽ	1
ȩ$	ẽ	1
ⁿz	ⁿz	1
ȼ	ts	4
^a	a	2
r̃	rː	1
ó	o ⁵	1
ó$	o ⁵	1
^ỹ	j̃	1
^a̧	ã	1
